IdNalazistaOp;OpisNalazista;OznKoord;IdOpazanja;NazKlase;OznKoord;HTRS96_X;HTRS96_Y;Nesigurnost
298340;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116713;15633;Carpinus betulus L.;XY.116713;471260.6716;5113778.0375;25.0000
298349;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116718;15638;Carpinus betulus L.;XY.116718;471165.0779;5114072.9983;25.0000
298404;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116739;15659;Carpinus betulus L.;XY.116739;471468.7896;5112772.0643;25.0000
298405;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116740;15660;Carpinus betulus L.;XY.116740;471465.9625;5112869.4371;25.0000
298429;Velika risa, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116751;15671;Carpinus betulus L.;XY.116751;472269.5276;5112966.7163;25.0000
298484;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116769;15689;Carpinus betulus L.;XY.116769;473765.3511;5109169.8754;25.0000
298539;Dupljaka, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116794;15714;Carpinus betulus L.;XY.116794;473561.4990;5113375.3172;25.0000
298555;Dupljaka, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116802;15722;Carpinus betulus L.;XY.116802;473267.5828;5113471.0931;25.0000
298564;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116805;15725;Carpinus betulus L.;XY.116805;471262.4626;5114667.5451;25.0000
298636;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116830;15750;Carpinus betulus L.;XY.116830;471066.7636;5114067.5733;25.0000
298651;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116835;15755;Carpinus betulus L.;XY.116835;472462.4795;5114379.7125;25.0000
298683;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116848;15768;Carpinus betulus L.;XY.116848;471663.5502;5114678.1360;25.0000
298700;Velika risa, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116855;15775;Carpinus betulus L.;XY.116855;471658.9393;5112671.9262;25.0000
298714;Vižanovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116860;15780;Carpinus betulus L.;XY.116860;473470.1574;5109080.8324;25.0000
298723;Degačica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116864;15784;Carpinus betulus L.;XY.116864;472951.7129;5113167.7255;25.0000
298754;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116879;15799;Carpinus betulus L.;XY.116879;472463.6957;5113473.2050;25.0000
298790;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116896;15816;Carpinus betulus L.;XY.116896;471960.9381;5113870.9492;25.0000
298793;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116897;15817;Carpinus betulus L.;XY.116897;471759.1169;5113972.5515;25.0000
298840;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116914;15834;Carpinus betulus L.;XY.116914;470469.3493;5114467.6352;25.0000
298842;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116915;15835;Carpinus betulus L.;XY.116915;470759.6604;5114565.0171;25.0000
298876;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116926;15846;Carpinus betulus L.;XY.116926;470563.4847;5114676.2665;25.0000
298877;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116926;15846;Carpinus betulus L.;XY.116926;470563.4847;5114676.2665;25.0000
298903;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116936;15856;Carpinus betulus L.;XY.116936;472365.0187;5114252.8696;25.0000
298944;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116948;15868;Carpinus betulus L.;XY.116948;472061.5322;5114568.7583;25.0000
298958;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116952;15872;Carpinus betulus L.;XY.116952;472588.5731;5115377.4098;25.0000
298959;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116953;15873;Carpinus betulus L.;XY.116953;472262.9267;5114966.4620;25.0000
298968;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116954;15874;Carpinus betulus L.;XY.116954;472269.5766;5115068.7737;25.0000
